Name,Url,FV,LOT,Location,Sale Date
2014 HYUNDAI VELOSTER,https://www.copart.com/lot/48203971/,KMHTC6AD0EU206892,48203971,SC - SPARTANBURG,9/26/2022
2009 MAZDA 5 ,https://www.copart.com/lot/48225132/,JM1CR29LX90327840,48225132,MD - BALTIMORE,9/26/2022
2008 CHEVROLET MALIBU 1LT,https://www.copart.com/lot/48225892/,1G1ZH57B38F163151,48225892,SC - SPARTANBURG,9/26/2022
2014 FORD FUSION S,https://www.copart.com/lot/48235312/,3FA6P0G79ER363211,48235312,GA - ATLANTA EAST,9/26/2022
2014 FORD FUSION SE,https://www.copart.com/lot/48319252/,3FA6P0H76ER173431,48319252,FL - ORLANDO NORTH,9/26/2022
2002 JEEP GRAND CHEROKEE LIMITED,https://www.copart.com/lot/48379102/,1J4GW58J42C165424,48379102,NC - CHINA GROVE,9/26/2022
2009 INFINITI G37 ,https://www.copart.com/lot/48393192/,JNKCV64FX9M653665,48393192,MD - BALTIMORE,9/26/2022
2016 MERCEDES-BENZ C 450 4MATIC AMG,https://www.copart.com/lot/48438402/,55SWF6EB3GU108340,48438402,NY - LONG ISLAND,9/26/2022
2008 JEEP LIBERTY LIMITED,https://www.copart.com/lot/48440822/,1J8GN58K18W179928,48440822,NY - ROCHESTER,9/26/2022
2000 ACURA 3.2TL ,https://www.copart.com/lot/48526162/,19UUA5664YA033422,48526162,NY - ALBANY,9/26/2022
2008 HONDA CR-V EX,https://www.copart.com/lot/48538462/,5J6RE48538L014026,48538462,NJ - TRENTON,9/26/2022
2009 KIA RIO 5 SX,https://www.copart.com/lot/48571692/,KNADE243X96532978,48571692,NC - CHINA GROVE,9/26/2022
2012 LINCOLN MKZ ,https://www.copart.com/lot/48575342/,3LNHL2GC0CR816695,48575342,NC - LUMBERTON,9/26/2022
2014 DODGE AVENGER SE,https://www.copart.com/lot/48640112/,1C3CDZAG4EN177344,48640112,SC - SPARTANBURG,9/26/2022
2013 HYUNDAI ELANTRA GT ,https://www.copart.com/lot/48681242/,KMHD35LEXDU058219,48681242,NC - LUMBERTON,9/26/2022
2012 TOYOTA TACOMA DOUBLE CAB,https://www.copart.com/lot/48707062/,3TMLU4EN6CM083982,48707062,NC - LUMBERTON,9/26/2022
2016 GMC YUKON DENALI,https://www.copart.com/lot/48709162/,1GKS2CKJ2GR347317,48709162,NC - CHINA GROVE,9/26/2022
2016 CHEVROLET TRAVERSE LTZ,https://www.copart.com/lot/48736612/,1GNKVJKD4GJ151225,48736612,KY - LEXINGTON EAST,9/26/2022
